ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
2.0,1.0,1.0,1.887748373307495,10,1,1.0,1.0
2.0,1.0,1.0,1.887748373307495,10,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,0,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,0,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,1,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,1,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,2,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,2,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,3,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,3,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,4,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,4,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,5,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,5,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,6,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,6,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,7,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,7,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,8,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,8,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,9,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,9,2,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,10,1,1.0,1.0
2.0,2.0,1.0,2.0956890070607668,10,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,0,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,0,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,1,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,1,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,2,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,2,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,3,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,3,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,4,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,4,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,5,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,5,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,6,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,6,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,7,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,7,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,8,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,8,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,9,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,9,2,1.0,1.0
2.0,3.0,1.0,2.000800228807201,10,1,1.0,1.0
2.0,3.0,1.0,2.000800228807201,10,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,0,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,0,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,1,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,1,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,2,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,2,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,3,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,3,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,4,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,4,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,5,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,5,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,6,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,6,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,7,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,7,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,8,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,8,2,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,9,1,1.0,1.0
2.0,4.0,1.0,1.8215107965193837,9,2,1.0,1.0
