balls_bowled_career,runs_weight_curve,wkts_weight_curve
3418,0.920704846,0.914006557
3419,0.920763625,0.914068262
3420,0.92082236,0.914129923
3421,0.920881052,0.91419154
3422,0.9209397,0.914253112
3423,0.920998304,0.91431464
3424,0.921056865,0.914376124
3425,0.921115383,0.914437564
3426,0.921173857,0.91449896
3427,0.921232288,0.914560311
3428,0.921290676,0.914621619
3429,0.92134902,0.914682883
3430,0.921407321,0.914744103
3431,0.921465579,0.914805278
3432,0.921523794,0.91486641
3433,0.921581965,0.914927498
3434,0.921640094,0.914988543
3435,0.921698179,0.915049543
3436,0.921756221,0.9151105
3437,0.921814221,0.915171413
3438,0.921872177,0.915232282
3439,0.92193009,0.915293107
3440,0.921987961,0.915353889
3441,0.922045788,0.915414627
3442,0.922103573,0.915475322
3443,0.922161314,0.915535973
3444,0.922219013,0.915596581
3445,0.92227667,0.915657145
3446,0.922334283,0.915717666
3447,0.922391854,0.915778143
3448,0.922449382,0.915838577
3449,0.922506867,0.915898967
3450,0.92256431,0.915959314
3451,0.92262171,0.916019618
3452,0.922679068,0.916079879
3453,0.922736383,0.916140096
3454,0.922793656,0.91620027
3455,0.922850886,0.916260401
3456,0.922908074,0.916320489
3457,0.92296522,0.916380534
3458,0.923022323,0.916440535
3459,0.923079383,0.916500494
3460,0.923136402,0.916560409
3461,0.923193378,0.916620282
3462,0.923250312,0.916680111
3463,0.923307204,0.916739898
3464,0.923364053,0.916799642
3465,0.923420861,0.916859342
3466,0.923477626,0.916919
3467,0.923534349,0.916978616
3468,0.923591031,0.917038188
3469,0.92364767,0.917097718
3470,0.923704267,0.917157205
3471,0.923760822,0.917216649
3472,0.923817335,0.917276051
3473,0.923873807,0.91733541
3474,0.923930236,0.917394726
3475,0.923986624,0.917454
3476,0.92404297,0.917513231
3477,0.924099274,0.91757242
3478,0.924155537,0.917631566
3479,0.924211757,0.91769067
3480,0.924267937,0.917749732
3481,0.924324074,0.917808751
3482,0.92438017,0.917867728
3483,0.924436224,0.917926662
3484,0.924492237,0.917985554
3485,0.924548208,0.918044404
3486,0.924604137,0.918103212
3487,0.924660026,0.918161977
3488,0.924715872,0.918220701
3489,0.924771678,0.918279382
3490,0.924827442,0.918338021
3491,0.924883165,0.918396618
3492,0.924938846,0.918455173
3493,0.924994486,0.918513686
3494,0.925050085,0.918572157
3495,0.925105642,0.918630586
3496,0.925161159,0.918688973
3497,0.925216634,0.918747318
3498,0.925272068,0.918805621
3499,0.925327462,0.918863883
3500,0.925382814,0.918922102
3501,0.925438125,0.91898028
3502,0.925493395,0.919038416
3503,0.925548624,0.919096511
3504,0.925603812,0.919154563
3505,0.925658959,0.919212574
3506,0.925714065,0.919270544
3507,0.925769131,0.919328472
3508,0.925824155,0.919386358
3509,0.925879139,0.919444203
3510,0.925934082,0.919502006
3511,0.925988985,0.919559768
3512,0.926043846,0.919617488
3513,0.926098667,0.919675167
3514,0.926153448,0.919732804
3515,0.926208187,0.919790401
3516,0.926262887,0.919847955
3517,0.926317545,0.919905469
3518,0.926372163,0.919962941
3519,0.926426741,0.920020372
3520,0.926481278,0.920077762
3521,0.926535775,0.920135111
3522,0.926590231,0.920192418
3523,0.926644647,0.920249684
3524,0.926699023,0.92030691
3525,0.926753358,0.920364094
3526,0.926807653,0.920421237
3527,0.926861908,0.920478339
3528,0.926916123,0.9205354
3529,0.926970297,0.920592421
3530,0.927024431,0.9206494
3531,0.927078525,0.920706338
3532,0.927132579,0.920763236
3533,0.927186593,0.920820093
3534,0.927240567,0.920876909
3535,0.927294501,0.920933684
3536,0.927348395,0.920990418
3537,0.927402249,0.921047112
3538,0.927456063,0.921103765
3539,0.927509837,0.921160377
3540,0.927563572,0.921216949
3541,0.927617266,0.92127348
3542,0.927670921,0.921329971
3543,0.927724536,0.921386421
3544,0.927778111,0.921442831
3545,0.927831646,0.9214992
3546,0.927885142,0.921555529
3547,0.927938598,0.921611817
3548,0.927992015,0.921668065
3549,0.928045392,0.921724272
3550,0.928098729,0.921780439
3551,0.928152027,0.921836566
3552,0.928205285,0.921892653
3553,0.928258504,0.921948699
3554,0.928311683,0.922004705
3555,0.928364823,0.922060671
3556,0.928417924,0.922116597
3557,0.928470985,0.922172483
3558,0.928524007,0.922228328
3559,0.928576989,0.922284134
3560,0.928629933,0.922339899
3561,0.928682837,0.922395624
