balls_faced_host,run_factor_smooth,wkt_factor_smooth
690,1.010750516,0.963838048
691,1.010750516,0.963838048
692,1.010750516,0.963838048
693,1.010750516,0.963838048
694,1.010750516,0.963838048
695,1.010750516,0.963838048
696,1.010750516,0.963838048
697,1.010750516,0.963838048
698,1.010750516,0.963838048
699,1.010750516,0.963838048
700,1.010750516,0.963838048
701,1.010750516,0.963838048
702,1.010750516,0.963838048
703,1.010750516,0.963838048
704,1.010750516,0.963838048
705,1.010750516,0.963838048
706,1.010750516,0.963838048
707,1.010750516,0.963838048
708,1.010750516,0.963838048
709,1.010750516,0.963838048
710,1.010750516,0.963838048
711,1.010750516,0.963838048
712,1.010750516,0.963838048
713,1.010750516,0.963838048
714,1.010750516,0.963838048
715,1.010750516,0.963838048
716,1.010750516,0.963838048
717,1.010750516,0.963838048
718,1.010750516,0.963838048
719,1.010750516,0.963838048
720,1.010750516,0.963838048
721,1.010750516,0.963838048
722,1.010750516,0.963838048
723,1.010750516,0.963838048
724,1.010750516,0.963838048
725,1.010750516,0.963838048
726,1.010750516,0.963838048
727,1.010750516,0.963838048
728,1.010750516,0.963838048
729,1.010750516,0.963838048
730,1.010750516,0.963838048
731,1.010750516,0.963838048
732,1.010750516,0.963838048
733,1.010750516,0.963838048
734,1.010750516,0.963838048
735,1.010750516,0.963838048
736,1.010750516,0.963838048
737,1.010750516,0.963838048
738,1.010750516,0.963838048
739,1.010750516,0.963838048
740,1.010750516,0.963838048
741,1.010750516,0.963838048
742,1.010750516,0.963838048
743,1.010750516,0.963838048
744,1.010750516,0.963838048
745,1.010750516,0.963838048
746,1.010750516,0.963838048
747,1.010750516,0.963838048
748,1.010750516,0.963838048
749,1.010750516,0.963838048
750,1.010750516,0.963838048
751,1.010750516,0.963838048
752,1.010750516,0.963838048
753,1.010750516,0.963838048
754,1.010750516,0.963838048
755,1.010750516,0.963838048
756,1.010750516,0.963838048
757,1.010750516,0.963838048
758,1.010750516,0.963838048
759,1.010750516,0.963838048
760,1.010750516,0.963838048
761,1.010750516,0.963838048
762,1.010750516,0.963838048
763,1.010750516,0.963838048
764,1.010750516,0.963838048
765,1.010750516,0.963838048
766,1.010750516,0.963838048
767,1.010750516,0.963838048
768,1.010750516,0.963838048
769,1.010750516,0.963838048
770,1.010750516,0.963838048
771,1.010750516,0.963838048
772,1.010750516,0.963838048
773,1.010750516,0.963838048
774,1.010750516,0.963838048
775,1.010750516,0.963838048
776,1.010750516,0.963838048
777,1.010750516,0.963838048
778,1.010750516,0.963838048
779,1.010750516,0.963838048
780,1.010750516,0.963838048
781,1.010750516,0.963838048
782,1.010750516,0.963838048
783,1.010750516,0.963838048
784,1.010750516,0.963838048
785,1.010750516,0.963838048
786,1.010750516,0.963838048
787,1.010750516,0.963838048
788,1.010750516,0.963838048
789,1.010750516,0.963838048
790,1.010750516,0.963838048
791,1.010750516,0.963838048
792,1.010750516,0.963838048
793,1.010750516,0.963838048
794,1.010750516,0.963838048
795,1.010750516,0.963838048
