inningBallsRemainingOriginal,inningBallsRemaining,totalInningWickets,mean_hundred,count_hundred,mean_t20,count_t20,ratio_hundred_vs_t20,ratio_pred_constrained,mean_hundred_adj
5.0,5.0,8,6.926128189438659,9,6.54091916799021,118,1.0588921849598105,0.8569899511364376,8.081924624966787
5.0,5.0,9,4.25506108036424,11,6.04293318635611,67,0.7041383628022607,0.8569899511364376,4.965123657193048
6.0,7.0,2,11.172125653058098,7,12.992648224382924,37,0.8598805616927037,0.8590169679230248,13.005710096822225
6.0,7.0,3,9.870138195568384,11,12.303000853430548,122,0.8022545323010533,0.8590169679230248,11.49003868856387
6.0,7.0,4,8.242076593464946,31,12.246074116302902,148,0.673038274567722,0.8590169679230248,9.594777403981972
6.0,7.0,5,9.814637086341154,39,10.649960684057776,218,0.9215655698178266,0.8590169679230248,11.425428661870889
6.0,7.0,6,8.235743169716114,27,10.789411864283927,151,0.7633171551249058,0.8590169679230248,9.587404530121116
6.0,7.0,7,6.863206214238575,17,9.562307501185572,162,0.7177353597327474,0.8590169679230248,7.9896049443968336
6.0,7.0,8,7.410439798130382,8,9.98881345893319,90,0.741873880075624,0.8590169679230248,8.626651247702036
6.0,7.0,9,3.1716574598725162,9,6.325273921103927,62,0.5014261041392146,0.8590169679230248,3.6921941920904215
7.0,8.0,2,12.553743306738573,8,13.827803842357929,44,0.9078624089447525,0.8600304763163185,14.596858660763688
7.0,8.0,3,11.404768422888234,15,13.77357652815881,109,0.8280179370675608,0.8600304763163185,13.260888697499563
7.0,8.0,4,9.684997820494308,27,13.868893350572577,165,0.6983252070428866,0.8600304763163185,11.261226302092316
7.0,8.0,5,11.935011278001065,44,12.12540679506902,227,0.9842978037532413,0.8600304763163185,13.877428308263088
7.0,8.0,6,8.620808928470197,23,11.797913988262863,154,0.7307062025580621,0.8600304763163185,10.023841207807932
7.0,8.0,7,7.641411937820166,14,11.248462622059046,157,0.6793294510162488,0.8600304763163185,8.885047853827055
7.0,8.0,8,8.680810080058665,9,10.477530864021164,88,0.8285167748699013,0.8600304763163185,10.093607516375815
7.0,8.0,9,3.8250101638157386,8,7.06246420086625,57,0.541597104782008,0.8600304763163185,4.447528627356344
8.0,9.0,2,15.871872907871419,11,14.653165298699129,54,1.0831702628291844,0.8610439847096121,18.43328934377751
8.0,9.0,3,11.848506959134712,18,15.609788032370163,112,0.7590434242005306,0.8610439847096121,13.760629154305784
8.0,9.0,4,11.2224691564981,30,15.139353733351937,175,0.7412779537461394,0.8610439847096121,13.033560835202731
8.0,9.0,5,12.902033361092895,40,13.598569708562408,231,0.9487787052317028,0.8610439847096121,14.98417454881137
8.0,9.0,6,9.763094626466916,21,13.156315631429557,145,0.7420842506349983,0.8610439847096121,11.338671194317127
8.0,9.0,7,8.202466736801336,12,12.371800517669735,152,0.662997008809377,0.8610439847096121,9.5261878399483
8.0,9.0,8,10.213003992444369,9,10.739611618852093,82,0.9509658593721091,0.8610439847096121,11.861187318890236
8.0,9.0,9,5.322589322321126,8,8.20879554612467,44,0.6484007662773248,0.8610439847096121,6.181553343196717
9.0,10.0,2,16.858585931021384,10,16.441725566060725,58,1.0253538087158656,0.8620574931029057,19.556219934172
9.0,10.0,3,14.237122637994288,17,17.56203476767631,120,0.8106761446685172,0.8620574931029057,16.51528204545723
9.0,10.0,4,12.732728886506727,34,16.275084813324487,174,0.7823448561129699,0.8620574931029057,14.770162069673923
