ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
2.0,2.0,1.0,1.3703432065517447,1,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,2,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,2,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,3,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,3,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,4,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,4,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,5,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,5,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,6,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,6,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,7,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,7,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,8,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,8,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,9,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,9,2,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,10,1,1.0,1.0
2.0,2.0,1.0,1.3703432065517447,10,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,0,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,0,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,1,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,1,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,2,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,2,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,3,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,3,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,4,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,4,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,5,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,5,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,6,1,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,6,2,1.0,1.0
2.0,3.0,1.0,2.1788200356037266,7,1,1.0,1.0
